product_key,product_name,category,subcategory,cost,last_sales_date,Recency_in_month,Product_segment,Total_orders,Total_customers,Total_sales,Total_quantity,lifespan,avg_selling_price,avg_order_revenue,avg_monthly_revenue
41,Road-650 Black- 62,Bikes,Road Bikes,487,2012-12-18,155, mid-Range,65,65,49047,65,24,754.57,754.57,2043.63
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,2011-12-12,167, High_Performance,49,49,166600,49,12,3400.0,3400.0,13883.33
20,Road-150 Red- 62,Bikes,Road Bikes,2171,2011-12-28,167, High_Performance,336,336,1202208,336,12,3578.0,3578.0,100184.0
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,2011-12-26,167, High_Performance,57,57,192375,57,12,3375.0,3375.0,16031.25
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,2011-12-22,167, High_Performance,58,58,197200,58,12,3400.0,3400.0,16433.33
16,Road-150 Red- 44,Bikes,Road Bikes,2171,2011-12-28,167, High_Performance,281,281,1005418,281,12,3578.0,3578.0,83784.83
44,Road-650 Red- 52,Bikes,Road Bikes,487,2012-12-21,155, mid-Range,61,61,46083,61,24,755.46,755.46,1920.13
17,Road-150 Red- 48,Bikes,Road Bikes,2171,2011-12-28,167, High_Performance,337,337,1205786,337,12,3578.0,3578.0,100482.17
18,Road-150 Red- 52,Bikes,Road Bikes,2171,2011-12-27,167, High_Performance,302,302,1080556,302,12,3578.0,3578.0,90046.33
19,Road-150 Red- 56,Bikes,Road Bikes,2171,2011-12-27,167, High_Performance,295,295,1055510,295,12,3578.0,3578.0,87959.17
39,Road-650 Black- 58,Bikes,Road Bikes,487,2012-12-18,155, High_Performance,76,76,57996,76,23,763.11,763.11,2521.57
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,2011-12-21,167, High_Performance,60,60,202500,60,11,3375.0,3375.0,18409.09
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,2011-12-23,167, High_Performance,36,36,122400,36,11,3400.0,3400.0,11127.27
42,Road-650 Red- 44,Bikes,Road Bikes,487,2012-12-25,155, High_Performance,72,72,54528,72,23,757.33,757.33,2370.78
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,2011-12-28,167, High_Performance,42,42,142800,42,11,3400.0,3400.0,12981.82
38,Road-650 Black- 52,Bikes,Road Bikes,487,2012-12-19,155, High_Performance,89,89,66915,89,23,751.85,751.85,2909.35
43,Road-650 Red- 48,Bikes,Road Bikes,487,2012-12-27,155, High_Performance,88,88,66720,88,23,758.18,758.18,2900.87
36,Road-650 Black- 44,Bikes,Road Bikes,487,2012-12-26,155, mid-Range,63,63,47565,63,23,755.0,755.0,2068.04
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,2011-12-27,167, High_Performance,49,49,165375,49,11,3375.0,3375.0,15034.09
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,2011-12-27,167, High_Performance,45,45,151875,45,11,3375.0,3375.0,13806.82
47,Road-650 Red- 62,Bikes,Road Bikes,487,2012-12-05,155, High_Performance,75,75,57381,75,23,765.08,765.08,2494.83
46,Road-650 Red- 60,Bikes,Road Bikes,487,2012-12-23,155, mid-Range,53,53,40071,53,23,756.06,756.06,1742.22
40,Road-650 Black- 60,Bikes,Road Bikes,487,2012-12-12,155, High_Performance,76,76,57156,76,22,752.05,752.05,2598.0
45,Road-650 Red- 58,Bikes,Road Bikes,487,2012-12-18,155, High_Performance,74,74,56346,74,22,761.43,761.43,2561.18
37,Road-650 Black- 48,Bikes,Road Bikes,487,2012-12-25,155, mid-Range,60,60,45552,60,21,759.2,759.2,2169.14
132,Road-550-W Yellow- 42,Bikes,Road Bikes,713,2013-12-26,143, High_Performance,306,303,334440,306,24,1092.94,1092.94,13935.0
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,2013-12-27,143, High_Performance,620,600,1373454,620,24,2215.25,2215.25,57227.25
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,2013-12-28,143, High_Performance,581,564,1292559,581,24,2224.71,2224.71,53856.63
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,2013-12-28,143, High_Performance,560,547,1257368,560,24,2245.3,2245.3,52390.33
143,Road-250 Red- 58,Bikes,Road Bikes,1555,2013-12-27,143, High_Performance,306,301,702666,306,24,2296.29,2296.29,29277.75
139,Road-250 Black- 44,Bikes,Road Bikes,1555,2013-12-27,143, High_Performance,271,266,628384,271,24,2318.76,2318.76,26182.67
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,2013-12-26,143, High_Performance,270,267,293760,270,24,1088.0,1088.0,12240.0
141,Road-250 Black- 52,Bikes,Road Bikes,1555,2013-12-25,143, High_Performance,319,312,734425,319,24,2302.27,2302.27,30601.04
142,Road-250 Black- 58,Bikes,Road Bikes,1555,2013-12-26,143, High_Performance,270,265,622026,270,24,2303.8,2303.8,25917.75
49,Road-250 Red- 48,Bikes,Road Bikes,1519,2012-12-24,155, High_Performance,162,162,395766,162,12,2443.0,2443.0,32980.5
48,Road-250 Red- 44,Bikes,Road Bikes,1519,2012-12-25,155, High_Performance,144,144,351792,144,12,2443.0,2443.0,29316.0
50,Road-250 Red- 52,Bikes,Road Bikes,1519,2012-12-25,155, High_Performance,133,133,324919,133,12,2443.0,2443.0,27076.58
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,2013-12-28,143, High_Performance,596,583,1339394,596,23,2247.31,2247.31,58234.52
140,Road-250 Black- 48,Bikes,Road Bikes,1555,2013-12-28,143, High_Performance,298,289,691213,298,23,2319.51,2319.51,30052.74
133,Road-550-W Yellow- 44,Bikes,Road Bikes,713,2013-12-27,143, High_Performance,287,286,312200,287,23,1087.8,1087.8,13573.91
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,2013-12-28,143, High_Performance,614,604,1363128,614,23,2220.08,2220.08,59266.43
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,2013-12-28,143, High_Performance,579,566,1298709,579,23,2243.02,2243.02,56465.61
131,Road-550-W Yellow- 40,Bikes,Road Bikes,713,2013-12-28,143, High_Performance,266,264,289880,266,23,1089.77,1089.77,12603.48
134,Road-550-W Yellow- 48,Bikes,Road Bikes,713,2013-12-27,143, High_Performance,261,258,283680,261,22,1086.9,1086.9,12894.55
290,Road Tire Tube,Accessories,Tires and Tubes,1,2014-01-28,142,low-performance,2375,2225,9500,2375,13,4.0,4.0,730.77
295,Water Bottle - 30 oz.,Accessories,Bottles and Cages,2,2014-01-28,142, mid-Range,4244,4073,21245,4249,13,5.0,5.01,1634.23
289,Mountain Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,142, mid-Range,3092,2958,15465,3093,13,5.0,5.0,1189.62
291,Touring Tire Tube,Accessories,Tires and Tubes,2,2014-01-28,142,low-performance,1487,1410,7435,1487,13,5.0,5.0,571.92
105,Road Bottle Cage,Accessories,Bottles and Cages,3,2014-01-25,142, mid-Range,1711,1699,15399,1711,13,9.0,9.0,1184.54
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,2014-01-28,142, mid-Range,2025,2004,20340,2034,13,10.0,10.04,1564.62
285,LL Road Tire,Accessories,Tires and Tubes,8,2014-01-28,142, mid-Range,1043,1029,21903,1043,13,21.0,21.0,1684.85
288,Touring Tire,Accessories,Tires and Tubes,11,2014-01-25,142, mid-Range,935,920,27115,935,13,29.0,29.0,2085.77
287,HL Road Tire,Accessories,Tires and Tubes,12,2014-01-28,142, mid-Range,858,820,28314,858,13,33.0,33.0,2178.0
244,Sport-100 Helmet- Black,Accessories,Helmets,13,2014-01-28,142, High_Performance,2085,2024,72975,2085,13,35.0,35.0,5613.46
246,Sport-100 Helmet- Red,Accessories,Helmets,13,2014-01-28,142, High_Performance,2230,2147,78050,2230,13,35.0,35.0,6003.85
284,HL Mountain Tire,Accessories,Tires and Tubes,13,2014-01-28,142, mid-Range,1395,1395,48860,1396,13,35.0,35.03,3758.46
245,Sport-100 Helmet- Blue,Accessories,Helmets,13,2014-01-28,142, High_Performance,2124,2049,74375,2125,13,35.0,35.02,5721.15
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,2014-01-28,142, mid-Range,442,436,22100,442,13,50.0,50.0,1700.0
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,2014-01-28,142, mid-Range,452,449,22650,453,13,50.0,50.11,1742.31
281,All-Purpose Bike Stand,Accessories,Bike Stands,59,2014-01-28,142, mid-Range,249,243,39591,249,13,159.0,159.0,3045.46
128,Road-750 Black- 52,Bikes,Road Bikes,344,2013-12-28,143, High_Performance,386,386,208440,386,12,540.0,540.0,17370.0
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,2013-12-27,143, mid-Range,47,47,34874,47,12,742.0,742.0,2906.17
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,755,2013-12-27,143, High_Performance,97,97,117855,97,12,1215.0,1215.0,9821.25
136,Road-350-W Yellow- 42,Bikes,Road Bikes,1083,2013-12-27,143, High_Performance,235,235,399735,235,12,1701.0,1701.0,33311.25
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,2013-12-23,143, High_Performance,177,177,421968,177,12,2384.0,2384.0,35164.0
166,AWC Logo Cap,Clothing,Caps,7,2014-01-28,142, mid-Range,2190,2132,19710,2190,13,9.0,9.0,1516.15
174,Fender Set - Mountain,Accessories,Fenders,8,2014-01-28,142, mid-Range,2121,2110,46662,2121,13,22.0,22.0,3589.38
233,Half-Finger Gloves- L,Clothing,Gloves,9,2014-01-28,142, mid-Range,443,437,10632,443,13,24.0,24.0,817.85
286,ML Road Tire,Accessories,Tires and Tubes,9,2014-01-28,142, mid-Range,925,890,23125,925,13,25.0,25.0,1778.85
283,ML Mountain Tire,Accessories,Tires and Tubes,11,2014-01-28,142, mid-Range,1160,1160,34800,1160,13,30.0,30.0,2676.92
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,2014-01-27,142, mid-Range,407,404,21978,407,13,54.0,54.0,1690.62
126,Road-750 Black- 44,Bikes,Road Bikes,344,2013-12-28,143, High_Performance,360,360,194400,360,12,540.0,540.0,16200.0
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,2013-12-24,143, High_Performance,128,128,98432,128,12,769.0,769.0,8202.67
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,755,2013-12-27,143, High_Performance,106,106,128790,106,12,1215.0,1215.0,10732.5
135,Road-350-W Yellow- 40,Bikes,Road Bikes,1083,2013-12-27,143, High_Performance,246,246,418446,246,12,1701.0,1701.0,34870.5
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,2014-01-28,142,low-performance,3189,2948,6378,3189,13,2.0,2.0,490.62
279,Racing Socks- L,Clothing,Socks,3,2014-01-27,142,low-performance,270,269,2430,270,13,9.0,9.0,186.92
234,Half-Finger Gloves- M,Clothing,Gloves,9,2014-01-28,142, mid-Range,499,488,11976,499,13,24.0,24.0,921.23
235,Half-Finger Gloves- S,Clothing,Gloves,9,2014-01-25,142, mid-Range,487,478,11688,487,13,24.0,24.0,899.08
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,2014-01-28,142, mid-Range,406,402,21924,406,13,54.0,54.0,1686.46
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,2014-01-26,142, mid-Range,374,372,20196,374,13,54.0,54.0,1553.54
129,Road-750 Black- 58,Bikes,Road Bikes,344,2013-12-28,143, High_Performance,334,334,180360,334,12,540.0,540.0,15030.0
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,2013-12-13,143, mid-Range,48,48,25920,48,12,540.0,540.0,2160.0
127,Road-750 Black- 48,Bikes,Road Bikes,344,2013-12-28,143, High_Performance,363,363,196020,363,12,540.0,540.0,16335.0
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,2013-12-25,143, mid-Range,39,39,22035,39,12,565.0,565.0,1836.25
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,461,2013-12-17,143, mid-Range,55,55,40810,55,12,742.0,742.0,3400.83
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,755,2013-12-28,143, High_Performance,81,81,98415,81,12,1215.0,1215.0,8201.25
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,2013-12-27,143, High_Performance,147,147,350448,147,12,2384.0,2384.0,29204.0
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,2014-01-28,142, mid-Range,733,719,40315,733,13,55.0,55.0,3101.15
